cut,scene_file,shot_type,controlnet,characters,sd_prompt
CUT001,scene01.md,solid_color,none,なし,"Static full black frame, no camera movement, no layout change. Add only a subtle film-grain noise texture that drifts almost imperceptibly, like rain static on a dark screen. Do not introduce any light, shape, or character. Minimal, restrained motion only, anime style, key visual color grading, cinematic lighting"
CUT002,scene01.md,environment_only,none,なし,"Fixed wide shot, distant night cityscape in rain, camera locked. Keep composition, layout, and background exactly as the first frame. Animate only the lit windows of a distant train sliding horizontally across the lower third of the frame at a slow, constant speed. Do not move the camera, do not add extra lights or characters, anime style, key visual color grading, cinematic lighting"
CUT003,scene01.md,environment_only,none,なし,"Fixed close-up on a pedestrian signal light in the rain, shallow depth of field, foreground raindrops blurred. Keep framing, lens, and background locked. Animate only: the signal icon blinking on/off at a steady slow rate, and a few blurred foreground raindrops sliding down very slightly. No camera motion, no new elements, anime style, key visual color grading, cinematic lighting"
CUT004,scene01.md,character_pose_needed,openpose,陽の足元のみ（シルエット、顔は見せない）,"Fixed low-angle shot of a foot stepping into a puddle on wet pavement at night, camera locked, composition unchanged. Animate only: the ripple spreading from the footstep, and the overall image brightness lifting very slowly from near-black to a dim visible state, as if the picture is slowly emerging from darkness. Do not add camera movement, do not reveal the character's face, anime style, key visual color grading, cinematic lighting"
CUT005,scene02.md,character_pose_needed,openpose,陽、画面奥に小さく登場,"Fixed wide high-angle shot of a shuttered shopping arcade in the rain at dusk, cool blue-violet palette. Keep layout, composition, and background locked. Animate only the falling rain and a tiny distant human figure walking at a slow constant pace. No camera movement, anime style, key visual color grading, cinematic lighting"
CUT006,scene02.md,character_pose_needed,openpose,陽（制服、閉じた透明傘を持つ）,"Fixed side-angle medium shot of a boy in a school uniform walking with a closed transparent umbrella in the rain, backlit rim light, anime style, key visual color grading, cinematic lighting"
CUT007,scene02.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽（髪・肩のみ）,"Fixed extreme close-up on wet hair and shoulder, shallow depth of field, warm rim light from a low angle. Keep framing and lighting locked. Animate only a single raindrop trailing down a strand of hair. No camera movement, no additional elements, anime style, key visual color grading, cinematic lighting"
CUT008,scene02.md,hand_insert,depth (optional),陽の手のみ,"Fixed macro insert of a smartphone screen showing an unsent message that reads '話したい', held by a hand, recipient field kept out of frame, anime style, key visual color grading, cinematic lighting"
CUT009,scene02.md,hand_insert,depth (optional),陽の指,"Fixed macro shot of a finger sliding slowly toward a delete button on a phone screen, anime style, key visual color grading, cinematic lighting"
CUT010,scene02.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽の指先,"Fixed extreme close-up of a fingertip frozen just above a delete button, phone screen glow only light source. Lock every element of composition. Animate only a very subtle tremor in the fingertip — no press, no camera movement, anime style, key visual color grading, cinematic lighting"
